Subject,CatNbr,Course Title,Sect,Type,Location,Summer 2019,Fall 2019,Spring 2020,Summer 2020,Fall 2020,Spring 2021,Summer 2021,Fall 2021,Spring 2022,Summer 2022,Fall 2022,Spring 2023,Summer 2023,Fall 2023,Spring 2024,Summer 2024,Fall 2024
ARCH,100,Anc. People/Places,D900,LEC,SURREY,,,80.0,,,120.0,,,,,,,,,,,
ARCH,100,Anc. People/Places,OL01,OLC,BURNABY,,,,,,,,,350.0,360.0,375.0,350.0,330.0,350.0,360.0,360.0,320.0
ARCH,101,Reconstructing the Human Past,C100,OLC,BURNABY,,,,,,35.0,80.0,80.0,80.0,80.0,80.0,80.0,,,,,
ARCH,101,Reconstructing the Human Past,D100,LEC,BURNABY,,,,,,45.0,220.0,,,,120.0,120.0,,60.0,,,
ARCH,101,Reconstructing the Human Past,D900,LEC,SURREY,,,,,,40.0,,,,,,,,,,,
ARCH,101,Reconstructing the Human Past,OL01,OLC,BURNABY,,,,,,,,,,120.0,,,330.0,320.0,330.0,330.0,320.0
ARCH,105,Arch in Pop Culture,D100,LEC,BURNABY,,,,,,40.0,120.0,120.0,,,,,,,,,
ARCH,131,Human Origins,C100,OLC,BURNABY,,,,,100.0,120.0,120.0,,,,,,,,,,
ARCH,131,Human Origins,C100,SEC,BURNABY,70.0,70.0,80.0,120.0,,,,,,,,,,,,,
ARCH,131,Human Origins,D100,LEC,BURNABY,220.0,220.0,220.0,125.0,320.0,220.0,230.0,220.0,220.0,,184.0,200.0,,250.0,250.0,100.0,220.0
ARCH,131,Human Origins,D200,LEC,BURNABY,,220.0,220.0,140.0,,,,,200.0,,,,,,,,
ARCH,131,Human Origins,D900,LEC,SURREY,,80.0,,,80.0,,,,,,,,,,,,
ARCH,131,Human Origins,OL01,OLC,BURNABY,,,,,,,,240.0,350.0,350.0,375.0,320.0,330.0,350.0,360.0,340.0,320.0
ARCH,131,Human Origins,OL02,OLC,BURNABY,,,,,,,,,,,,,150.0,,,,
ARCH,200,Spec Topics/World Prehistory,D100,LEC,BURNABY,,48.0,,,,,,60.0,,,15.0,,45.0,25.0,24.0,,
ARCH,200,Spec Topics/World Prehistory,D200,LEC,BURNABY,,,,,,,,,,,,,24.0,,15.0,,
ARCH,200,Special Topics in Archaeology,D100,LEC,BURNABY,,,,,,,,,,,,,,,,,30.0
ARCH,201,Reconstructing the Human Past,C100,OLC,BURNABY,,,,,60.0,,,,,,,,,,,,
ARCH,201,Reconstructing the Human Past,C100,SEC,BURNABY,45.0,60.0,45.0,80.0,,,,,,,,,,,,,
ARCH,201,Reconstructing the Human Past,D100,LEC,BURNABY,,60.0,45.0,,60.0,,,,,,,,,,,,
ARCH,226,Prehistory/Religion,C100,OLC,BURNABY,,,,,45.0,80.0,,,,,,,,,,,
ARCH,226,Prehistory/Religion,C100,SEC,BURNABY,60.0,60.0,70.0,80.0,,,,,,,,,,,,,
ARCH,226,Prehistory/Religion,D100,LEC,BURNABY,,60.0,,,80.0,,,,,,,,,,,,
ARCH,226,Prehistory/Religion,J100,LEC,BURNABY,,,,,54.0,,,,,,,,,,,,
ARCH,226,"Shamans,Sacrifice&Psychedelics",C100,OLC,BURNABY,,,,,,,120.0,80.0,80.0,80.0,,,,,,,
ARCH,226,"Shamans,Sacrifice&Psychedelics",D100,LEC,BURNABY,,,,,,,,,112.0,,,,,,,,
ARCH,226,"Shamans,Sacrifice&Psychedelics",OL01,OLC,BURNABY,,,,,,,,,,,325.0,350.0,330.0,320.0,330.0,340.0,320.0
ARCH,252,Ancient Egypt and Africa,D100,LEC,BURNABY,100.0,,,,40.0,,,,,,,,,,,,80.0
ARCH,252,Ancient Egypt and Africa,D200,LEC,BURNABY,,,,,,,,45.0,,,,,,,,,
ARCH,252,Ancient Egypt and Africa,E100,LEC,BURNABY,,,,,,,,,,,,,,80.0,,,
ARCH,271,Interpreting the Past,D100,LEC,BURNABY,,,,,,,,60.0,,,45.0,,,45.0,,,45.0
ARCH,272W,Old World,D100,LEC,BURNABY,,45.0,,,45.0,,,45.0,,,45.0,,,45.0,,,45.0
ARCH,273,Arc. of New World,D100,LEC,BURNABY,,,60.0,,,60.0,,,60.0,,,60.0,,,60.0,,
ARCH,282,Material Culture Analysis,D100,LEC,BURNABY,,,,,,,,36.0,,,48.0,,,47.0,,,48.0
ARCH,285,Archaeological Science,D100,LEC,BURNABY,,,,,20.0,,,,24.0,,,45.0,,,48.0,,
ARCH,286,Cultural Heritage Management,D100,LEC,BURNABY,,45.0,,,40.0,,,45.0,,,,35.0,,,,60.0,
ARCH,301,Ancient Visual Art,C100,OLC,BURNABY,,,,,80.0,80.0,120.0,,,,,,,,,,
ARCH,301,Ancient Visual Art,C100,SEC,BURNABY,45.0,60.0,,80.0,,,,,,,,,,,,,
ARCH,301,Ancient Visual Art,OL01,OLC,BURNABY,,,,,,,,180.0,220.0,350.0,360.0,320.0,320.0,320.0,330.0,320.0,320.0
ARCH,312,Greek Art and Archaeology,D100,LEC,BURNABY,,17.0,,,20.0,,,,,,,,,18.0,,,
ARCH,312,Greek Art and Archaeology,D100,SEM,BURNABY,,,,,,,,21.0,,,,,,,,,
ARCH,313,Roman Art and Archaeology,D100,LEC,BURNABY,,,25.0,,,30.0,,,15.0,,,20.0,,,,,
ARCH,321,World Archaeology I,D100,LEC,BURNABY,,,,,,,,20.0,,,,,,,,30.0,
ARCH,321,World Archaeology I,E100,LEC,BURNABY,,,,,,,,,,,,,,5.0,,,
ARCH,322,ST Biological Anthropology I,D100,LEC,BURNABY,,,,,60.0,,,,,,,,,,24.0,,
ARCH,322,ST Biological Anthropology I,E100,LEC,BURNABY,,,35.0,,,35.0,,,35.0,,,35.0,,,,,
ARCH,323,Biological Anthropology II,D100,LEC,BURNABY,,60.0,,45.0,,,45.0,24.0,,,30.0,,,48.0,,,40.0
ARCH,323,Biological Anthropology II,D200,LEC,BURNABY,,,,,,40.0,,,,,,,,,,,
ARCH,329,ST Environmental Archaeology,D100,LEC,BURNABY,,,,,,,60.0,,,,,,,,40.0,,
ARCH,331,World Archaeology II,D100,LEC,BURNABY,,,,45.0,,40.0,,,,,,,,,,,
ARCH,332,Special Topics in Arch I,D100,LEC,BURNABY,,,,,,,,,,,,,,40.0,,,
ARCH,332,Special Topics in Arch I,D100,SEC,BURNABY,60.0,,,,,,,,,,,,,,,,
ARCH,340,Zooarchaeology,D100,LEC,BURNABY,,,24.0,,,24.0,,,24.0,,,24.0,,,24.0,,
ARCH,344,Primate Behaviour,D100,LEC,BURNABY,,,,,,,,,,,,,,,40.0,,
ARCH,344,Primate Behaviour,E100,LEC,BURNABY,,,35.0,,,40.0,,,48.0,,,48.0,,,,,
ARCH,348,Archaeological Conservation,D100,LEC,BURNABY,,,,,,,,,,,,,,,,,24.0
ARCH,349,Manage. Arch Collect,D100,LEC,BURNABY,,,,,,,,,,,24.0,,,,,,
ARCH,349,Manage. Arch Collect,E100,LEC,BURNABY,,24.0,,,,,,,,,,,,,,,
ARCH,350,Practicum I,D100,COP,METRO,,,,,,,5.0,,,,,,,,,5.0,
ARCH,350,Practicum I,D100,SEC,BURNABY,1.0,,,,,,,,,,,,,,,,
ARCH,350,Practicum I,D200,COP,BURNABY,,,,5.0,,,,,,,,,,,,,
ARCH,350,Practicum I,D200,COP,OFF,,,,,1.0,,1.0,,,,,,2.0,,,,
ARCH,351,Practicum II,D100,COP,METRO,,,,,,,,5.0,,,,,,,,,
ARCH,351,Practicum II,D100,SEC,BURNABY,,1.0,,,,,,,,,,,,,,,
ARCH,351,Practicum II,D200,COP,OFF,,,,,2.0,,1.0,,,,,,,5.0,,,
ARCH,363,Landscape Archaeology,D100,LEC,BURNABY,,60.0,,,60.0,,,60.0,,,,,,,35.0,,
ARCH,365,Perspectives on Human Ecology,D100,LEC,BURNABY,,,,,,,,,,,,,,,35.0,,
ARCH,372,Material Culture Analysis,D100,LEC,BURNABY,,24.0,,,48.0,,,,,,,,,,,,
ARCH,373,Human Osteology,D100,LEC,BURNABY,,45.0,,,40.0,,,45.0,,,48.0,,,,44.0,,
ARCH,374,Arch Research Design,D100,LEC,BURNABY,,,,,,,,,,,,,,,,,24.0
ARCH,375,The Archaeology of Food,D100,LEC,BURNABY,,,,,30.0,,,,,,,,48.0,,,50.0,
ARCH,376,Quantitative Methods,D100,LEC,BURNABY,,,24.0,,,24.0,,,23.0,,,20.0,,,20.0,,
ARCH,377,Historical Arch.,D100,LEC,BURNABY,,,24.0,,,,,,24.0,,,,,24.0,,,24.0
ARCH,378,Pac. N.W. North Am.,D100,LEC,BURNABY,,,,,40.0,,,,,,35.0,,,35.0,,,
ARCH,378,Pac. N.W. North Am.,D100,SEM,BURNABY,,35.0,,,,,,35.0,,,,,,,,,35.0
ARCH,383,Ancient and Forensic DNA,D100,LEC,BURNABY,,,,,,,,,80.0,,,70.0,,,,,48.0
ARCH,383,Molecular Bioarchaeology,D100,LEC,BURNABY,,,45.0,,,45.0,,,,,,,,,,,
ARCH,386,Arch.Resource Mgmt.,D100,LEC,BURNABY,,,40.0,,,40.0,,,40.0,,,40.0,,,40.0,,
ARCH,388,Geoarchaeology,D100,LEC,BURNABY,,,,,,,,,,24.0,,,,,,,
ARCH,389,Ethnoecology,OL01,OLC,BURNABY,,,,,,,,,,,60.0,,,,,,
ARCH,390,Archaeobotany,D100,LEC,BURNABY,,24.0,,,,,,,20.0,,,,,,,,
ARCH,428,Soil Micromorphology,D100,LEC,BURNABY,,,,,,,,,,,,,16.0,,,,
ARCH,433,Background/Fieldwork,D100,FLD,BURNABY,18.0,,,,,,,,,,,,,,,,
ARCH,433,Background/Fieldwork,D100,FLD,OFF,,,,,,,,,,18.0,,,,,,,
ARCH,433,Background/Fieldwork,D200,FLD,BAM,2.0,,,,,,,,,,,,,,,,
ARCH,433,Background/Fieldwork,D200,FLD,OFF,,,,,,,,,,18.0,,,,,,,
ARCH,433,Background/Fieldwork,D200,FLD,PRT,,,,,,,,,,,,,,,,18.0,
ARCH,434,Archaeological Field Methods,D100,FLD,BURNABY,18.0,,,,,,,20.0,,30.0,,,18.0,,,18.0,
ARCH,434,Archaeological Field Methods,D100,LEC,BURNABY,,,,,60.0,,,,,,,,,,,,
ARCH,435,Field Work Practicum,D100,FLD,BURNABY,21.0,,,,,,,20.0,,,,,,,,,
ARCH,435,Field Work Practicum,D100,FLD,OFF,,,,,,,,,,18.0,,,18.0,,,,
ARCH,435,Field Work Practicum,D100,FLD,SQU,,,,,,,,,,,,,,,,18.0,
ARCH,436,Bioanth Practicum,D100,FLD,OFF,,,,,,,,,,18.0,,,,,,,
ARCH,436,Bioanth Practicum,D300,FLD,PRT,,,,,,,,,,,,,,,,18.0,
ARCH,442,Forensic Anthro,D100,LEC,BURNABY,,,,,,20.0,,,,,,35.0,,,,,
ARCH,450,Practicum III,D100,COP,METRO,,,,,,,,,,1.0,,,,,,,
ARCH,450,Practicum III,D200,COP,OFF,,,,,,,,,,5.0,,,5.0,,,,
ARCH,451,Practicum IV,D200,COP,OFF,,,,,,,,,,,5.0,,,,,,
ARCH,452,Ancient Health and Disease,D100,LEC,BURNABY,,,,,,,,,,,,,,,30.0,,
ARCH,452,Ancient Health and Disease,D200,LEC,BURNABY,,,,,,,,,35.0,,,,,,,,
ARCH,471W,Archaeological Theory,D100,LEC,BURNABY,,,40.0,,,35.0,,,35.0,,,35.0,,,35.0,,
ARCH,479,Directed Readings,D100,IND,BURNABY,,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,
ARCH,479,Directed Readings,D100,SEC,BURNABY,1.0,1.0,,,,,,,,,,,,,,,
ARCH,479,Directed Readings,D200,IND,BURNABY,,,,,,,,,,,,1.0,,1.0,,,
ARCH,479,Directed Readings,D200,SEC,BURNABY,,1.0,,,,,,,,,,,,,,,
ARCH,479,Directed Readings,D300,IND,OFF,,,,,,,,,,,,,,,,1.0,
ARCH,480,Dir Lab/Lib/Fld Res.,D100,IND,BURNABY,,,,1.0,,,,,,,,,,1.0,1.0,1.0,
ARCH,480,Dir Lab/Lib/Fld Res.,D100,SEC,BURNABY,1.0,1.0,,,,,,,,,,,,,,,
ARCH,480,Dir Lab/Lib/Fld Res.,D200,FLD,OFF,,,,,,,,,,,,,,,,10.0,
ARCH,480,Dir Lab/Lib/Fld Res.,D200,IND,BURNABY,,,,,,,,,,,,1.0,,,,,
ARCH,480,Dir Lab/Lib/Fld Res.,D200,SEC,COM,1.0,,,,,,,,,,,,,,,,
ARCH,480,Dir Lab/Lib/Fld Res.,D300,FLD,OFF,3.0,,,,,,,,,,,,,,,,
ARCH,480,Dir Lab/Lib/Fld Res.,D300,IND,BURNABY,,,,,,,,,,,,1.0,,2.0,1.0,,
ARCH,480,Dir Lab/Lib/Fld Res.,D400,IND,BURNABY,,,10.0,,,,,,,,,,,,,,
ARCH,480,Dir Lab/Lib/Fld Res.,D400,IND,OFF,,,,,,,,,,,,,,,,1.0,
ARCH,480,Dir Lab/Lib/Fld Res.,D500,FLD,OFF,,,,,,,,,,,,,,,,1.0,
ARCH,485,Lithic Technology,D100,LEC,BURNABY,,,20.0,,,,,,,24.0,,,,,,,
ARCH,498,Honours Reading,D100,IND,BURNABY,,,,,1.0,,,,1.0,,1.0,,1.0,1.0,,,
ARCH,498,Honours Reading,D100,SEC,BURNABY,,1.0,,,,,,,,,,,,,,,
ARCH,498,Honours Reading,D200,IND,BURNABY,,,,,,,,,,,,,,1.0,,,
ARCH,498,Honours Reading,D200,SEC,BURNABY,1.0,,,,,,,,,,,,,,,,
