COURSE  ,DIFFICULTY  ,WORKLOAD  ,RECCOMENDATION %  
LING 220,3.4,3,60
CMNS 130,3.4,3,60
LING 282W,3.4,3.4,80
EASC 103,3.4,3.4,40
BISC 101,3.4,3.6,56
BUS 320,3.4,3.6,100
PSYC 201W,3.4,3.7,83.3
MSE 110,3.4,4.4,42.9
ECON 282,3.5,2,100
CMPT 150,3.5,2.5,50
IAT 201,3.5,2.5,50
PSYC 355,3.5,2.5,50
CMPT 459,3.5,3,100
SA 327,3.5,3,100
BPK 143,3.5,3,50
GSWS 100,3.5,3,0
MATH 151,3.5,3.3,70
BUS 477,3.5,3.5,100
BUS 464,3.5,3.5,75
STAT 285,3.5,3.5,50
HSCI 338,3.5,3.5,50
GEOG 214,3.5,3.5,50
PSYC 388,3.5,3.5,50
CMPT 470,3.5,3.5,50
CRIM 380,3.5,3.5,50
PHYS 102,3.5,3.5,0
HUM 102W,3.5,3.5,0
HIST 254,3.5,3.5,0
MATH 100,3.5,3.8,42.9
FPA 167,3.5,4,100
BUS 362,3.5,4,75
HSCI 216,3.5,4,50
BUS 202,3.5,4.3,0
PHYS 140,3.5,4.5,100
LING 309W,3.5,4.5,50
IS 101,3.6,3.1,28.6
ECON 103,3.6,3.2,62.5
PSYC 280,3.6,4.3,87.5
BPK 110,3.6,3.4,44.4
BUS 207,3.6,3.2,60
CRIM 135,3.7,3.2,60
BISC 316,3.7,3.3,100
SA 100W,3.7,3.3,33.3
CRIM 241,3.7,3.3,33.3
CRIM 330,3.7,3.3,33.3
HSCI 212,3.7,3.3,0
BUS 200,3.7,3.5,33.3
BUS 251,3.7,3.6,66.7
CMPT 106,3.7,3.7,33.3
GEOG 215,3.7,4,33.3
MATH 157,3.7,3.8,33.3
MACM 201,3.7,3.5,58.8
PHYS 101,3.7,3.3,71.4
CMPT 105W,3.7,3.7,14.3
MATH 251,3.7,3.5,54.5
PSYC 221,3.8,3.3,75
MACM 101,3.8,3.4,75
LING 321,3.8,3.8,75
MBB 309W,3.8,4.5,50
BUEC 232,3.8,4,60.5
CHEM 121,3.8,3.4,50
BUS 336,3.8,3.6,66.7
CMPT 295,3.8,4.2,64.3
HIST 130,3.8,4,40
BUS 254,3.8,4,47.4
CMPT 127,3.9,4.1,57.1
BUS 312,3.9,3.8,66.7
CRIM 230,3.9,4,75
MATH 232,3.9,4,36.4
CMPT 300,3.9,4.6,50
IS 200,4,2.5,100
EASC 106,4,2.5,50
LING 110,4,2.8,20
BUS 462,4,3,100
GEOG 255,4,3.3,50
HSCI 330,4,3.3,66.7
PHIL 110,4,3.4,31.3
FNST 201W,4,3.5,100
ENGL 105W,4,3.5,100
PSYC 382,4,3.5,0
ENSC 350,4,3.5,0
BPK 241,4,3.7,66.7
CHEM 120,4,3.7,66.7
BPK 326,4,3.8,50
ENSC 251,4,4,100
MSE 251,4,4,50
GEOG 412W,4,4,50
CMPT 320,4,4,50
CHEM 281,4,4,40
GEOG 353,4,4,0
ENSC 351,4,4,0
HSCI 307,4,4,0
MATH 340,4,4.3,75
IAT 106,4,4.4,14.3
CMPT 431,4,4.5,100
STAT 302,4,4.5,100
ECON 355W,4,4.5,50
PHYS 132,4,4.5,0
BUS 360W,4.1,4.2,58.8
CRIM 220,4.1,4.2,25
MBB 222,4.1,4,55.6
PSYC 300W,4.1,4.7,25
STAT 203,4.1,3.3,57.1
CMPT 128,4.2,2.5,50
MACM 316,4.2,4.1,25
BISC 202,4.2,3.5,72.7
MATH 152,4.2,4.1,48
MATH 155,4.3,3.8,50
PSYC 370,4.3,3.8,0
STAT 270,4.3,3.2,36.4
MATH 240,4.3,3.7,66.7
CMPT 307,4.3,3.7,33.3
ECON 201,4.3,3.9,22.2
IS 315,4.3,4,33.3
HSCI 305,4.3,4,0
CRIM 356,4.3,4.3,33.3
BUS 440,4.3,4.3,0
CRIM 321,4.3,4.7,33.3
MATH 150,4.4,4.2,23.1
BPK 207,4.4,3.8,40
CHEM 282,4.4,4.3,40
ENGL 199W,4.4,4,28.6
PHYS 121,4.5,3.1,37.5
IAT 265,4.5,3.5,50
HSCI 319W,4.5,3.5,50
PERS 118,4.5,3.5,0
BPK 305,4.5,4,100
HSCI 431,4.5,4,50
CHEM 215,4.5,4,0
CRIM 402,4.5,4,0
EASC 104,4.5,4.3,50
CRIM 300W,4.5,4.5,0
MSE 280,4.5,4.5,0
ECON 302,4.5,4.7,16.7
ENSC 252,4.5,5,50
ARCH 301,4.5,5,0
MBB 331,4.6,4.4,60
PHYS 211,4.7,4.3,100
IAT 309W,4.7,4.7,33.3
EASC 205,4.7,5,0
BPK 325,4.8,4,25
BPK 105,4.8,4.8,9.5
CHEM 283,5,4,0
EASC 202,5,4.8,16.7
CMPT 379,5,5,100
STAT 305,5,5,0
